id	e	k	m	t
0	0	6	2816	35.0
1	0	6	2955	5.0
2	0	6	2781	3.0
3	0	6	3088	4.0
4	0	6	2937	1.0
5	0	6	1949	1.0
6	0	6	2971	1.0
7	0	6	2615	1.0
8	0	6	2981	1.0
9	0	6	2242	1.0
10	0	6	3321	1.0
11	0	6	3185	1.0
12	0	6	1700	1.0
13	0	6	2748	1.0
14	0	6	3105	1.0
15	0	6	3025	1.0
16	0	6	3138	1.0
17	0	6	3030	1.0
18	0	6	2768	1.0
19	0	6	3668	2.0
20	0	6	545	0.0
21	0	6	707	0.0
22	0	6	2400	1.0
23	0	6	2721	1.0
24	0	6	3008	1.0
25	0	6	3014	1.0
26	0	6	2047	1.0
27	0	6	671	0.0
28	0	6	2906	1.0
29	0	6	2526	1.0
30	0	6	2812	1.0
31	0	6	2104	1.0
32	0	6	2943	1.0
33	0	6	2290	1.0
34	0	6	3047	2.0
35	0	6	2594	1.0
36	0	6	3030	1.0
37	0	6	2638	1.0
38	0	6	3371	1.0
39	0	6	2702	1.0
40	0	6	2951	1.0
41	0	6	3060	1.0
42	0	6	3150	1.0
43	0	6	3245	1.0
44	0	6	2818	1.0
45	0	6	3295	1.0
46	0	6	2739	1.0
47	0	6	2964	1.0
48	0	6	1820	1.0
49	0	6	834	0.0
50	0	6	3251	1.0
51	0	6	1827	1.0
52	0	6	2766	1.0
53	0	6	2553	1.0
54	0	6	2627	1.0
55	0	6	3786	2.0
56	0	6	2782	1.0
57	0	6	2811	1.0
58	0	6	2458	1.0
59	0	6	2772	1.0
60	0	6	2591	1.0
61	0	6	3235	1.0
62	0	6	2818	1.0
63	0	6	2943	1.0
64	0	6	3422	1.0
65	0	6	3031	1.0
66	0	6	2665	1.0
67	0	6	2928	1.0
68	0	6	2962	1.0
69	0	6	3331	1.0
70	0	6	2878	1.0
71	0	6	2672	1.0
72	0	6	2892	1.0
73	0	6	2895	1.0
74	0	6	2466	1.0
75	0	6	1357	1.0
76	0	6	3158	1.0
77	0	6	2480	1.0
78	0	6	2732	1.0
79	0	6	3025	1.0
80	0	6	3179	1.0
81	0	6	3333	1.0
82	0	6	3306	1.0
83	0	6	2699	1.0
84	0	6	1217	1.0
85	0	6	2978	1.0
86	0	6	2705	1.0
87	0	6	3030	1.0
88	0	6	3047	1.0
89	0	6	3683	1.0
90	0	6	2864	1.0
91	0	6	2666	1.0
92	0	6	2853	1.0
93	0	6	2393	1.0
94	0	6	2941	1.0
95	0	6	1577	1.0
96	0	6	2956	1.0
97	0	6	2687	1.0
98	0	6	3043	1.0
99	0	6	3254	1.0
0	1	6	8940	3.0
1	1	6	9093	3.0
2	1	6	8893	2.0
3	1	6	9220	2.0
4	1	6	9045	2.0
5	1	6	7855	3.0
6	1	6	9095	3.0
7	1	6	8679	2.0
8	1	6	9113	3.0
9	1	6	8274	2.0
10	1	6	9459	2.0
11	1	6	9299	2.0
12	1	6	7496	4.0
13	1	6	8870	3.0
14	1	6	9229	2.0
15	1	6	9163	2.0
16	1	6	9266	2.0
17	1	6	9156	4.0
18	1	6	8876	2.0
19	1	6	9808	3.0
20	1	6	3909	2.0
21	1	6	4585	1.0
22	1	6	8376	2.0
23	1	6	8807	2.0
24	1	6	9134	4.0
